State_FIPS,County_FIPS,State,County,Poverty_Est_All_Ages,Poverty_Per_All_Ages,Poverty_Est_Age_0-17,Poverty_Per_Age_ 0-17,Poverty_Est_Age_5-17,Poverty_Per_Age_5-17,Med_HH_Inc
1,0,AL,Alabama,"905,682",19.2,"298,682",27.4,"207,154",25.9,"42,917"
1,1,AL,Autauga County,"7,204",13.1,"2,505",18.1,"1,832",17.4,"54,366"
1,3,AL,Baldwin County,"25,696",13,"8,637",19.8,"6,118",18.7,"49,626"
1,5,AL,Barbour County,"5,943",25.4,"2,137",38.1,"1,521",37,"34,971"
1,7,AL,Bibb County,"3,666",18.1,"1,237",26.8,866,25.2,"39,546"
1,9,AL,Blount County,"10,000",17.5,"3,241",24.1,"2,248",22.5,"45,567"
1,11,AL,Bullock County,"3,179",35.1,980,43.1,649,40.4,"26,580"
1,13,AL,Butler County,"4,988",25,"1,735",36.7,"1,235",35.3,"32,512"
1,15,AL,Calhoun County,"23,114",20.5,"7,080",28.1,"4,738",25.4,"41,123"
1,17,AL,Chambers County,"7,170",21.3,"2,255",31.6,"1,562",30.2,"34,116"
1,19,AL,Cherokee County,"4,768",18.6,"1,462",27.9,"1,019",25.4,"38,013"
1,21,AL,Chilton County,"7,874",18.1,"2,896",27.6,"2,070",26.9,"41,450"
1,23,AL,Choctaw County,"3,293",25,867,31.9,592,28.7,"35,049"
1,25,AL,Clarke County,"6,137",24.9,"1,881",33.7,"1,333",31.6,"36,620"
1,27,AL,Clay County,"2,592",19.5,835,28.9,581,26.7,"35,940"
1,29,AL,Cleburne County,"2,527",17,854,24.8,601,23.1,"40,418"
1,31,AL,Coffee County,"8,407",16.8,"2,974",25,"2,126",24.1,"46,931"
1,33,AL,Colbert County,"9,022",16.7,"2,949",25.3,"2,145",24.9,"43,057"
1,35,AL,Conecuh County,"3,846",30.6,"1,103",41.2,752,37.8,"29,101"
1,37,AL,Coosa County,"1,976",18.8,568,29,401,27.8,"34,679"
1,39,AL,Covington County,"7,778",20.8,"2,493",30.2,"1,760",29.1,"36,149"
1,41,AL,Crenshaw County,"2,929",21.2,873,28,610,26.8,"34,445"
1,43,AL,Cullman County,"13,809",17.2,"4,219",23.5,"2,892",21.9,"39,922"
1,45,AL,Dale County,"10,865",22.4,"3,869",33.5,"2,649",31.4,"41,940"
1,47,AL,Dallas County,"14,470",35.2,"5,134",49.5,"3,401",44.8,"26,602"
1,49,AL,DeKalb County,"16,856",24,"6,314",36.5,"4,714",36.4,"36,241"
1,51,AL,Elmore County,"10,867",14.4,"3,808",20.7,"2,641",19.4,"54,298"
1,53,AL,Escambia County,"8,639",25.1,"2,588",31.6,"1,861",31.4,"37,077"
1,55,AL,Etowah County,"19,291",19,"6,606",29.5,"4,494",27.2,"39,904"
1,57,AL,Fayette County,"3,425",20.6,"1,056",29.2,739,27.1,"35,664"
1,59,AL,Franklin County,"7,222",23.1,"2,688",35.5,"1,965",35.6,"33,881"
1,61,AL,Geneva County,"6,303",23.9,"2,129",36.4,"1,509",34.9,"34,425"
1,63,AL,Greene County,"2,819",33.2,905,45.7,638,42.9,"26,504"
1,65,AL,Hale County,"4,182",28.1,"1,295",36.8,914,35.3,"33,315"
1,67,AL,Henry County,"2,925",17.3,984,27.4,700,26.3,"39,930"
1,69,AL,Houston County,"20,643",20.1,"7,564",31.1,"5,332",29.8,"40,124"
1,71,AL,Jackson County,"11,440",22,"3,241",28.8,"2,345",27.8,"36,923"
1,73,AL,Jefferson County,"125,778",19.5,"44,281",29.4,"31,119",28.9,"44,852"
1,75,AL,Lamar County,"2,856",20.6,857,28.3,596,25.7,"34,553"
1,77,AL,Lauderdale County,"17,041",18.7,"4,951",26.3,"3,238",23,"41,324"
1,79,AL,Lawrence County,"5,499",16.6,"1,666",23.2,"1,162",21.5,"41,574"
1,81,AL,Lee County,"37,752",25.2,"8,668",26.4,"5,972",24.9,"41,256"
1,83,AL,Limestone County,"11,912",13.6,"3,970",18.9,"2,711",17.3,"51,175"
1,85,AL,Lowndes County,"3,285",31.4,"1,040",42.7,694,40.2,"30,675"
1,87,AL,Macon County,"5,649",32.1,"1,542",44.4,"1,114",43.5,"28,518"
1,89,AL,Madison County,"48,750",14.2,"15,731",20.3,"10,602",18.4,"58,833"
1,91,AL,Marengo County,"5,071",25.6,"1,500",32.7,"1,067",31.5,"32,977"
1,93,AL,Marion County,"5,925",20.2,"1,663",26.4,"1,157",24.6,"37,707"
1,95,AL,Marshall County,"20,528",22,"7,592",33.3,"4,959",29.8,"36,536"
1,97,AL,Mobile County,"80,016",19.6,"29,300",29.8,"20,557",29,"42,943"
1,99,AL,Monroe County,"5,484",25.3,"1,693",33.3,"1,202",31,"34,733"
1,101,AL,Montgomery County,"48,844",22.5,"17,190",32.2,"11,262",29.5,"43,054"
1,103,AL,Morgan County,"17,665",15,"6,365",23.4,"4,679",23.3,"45,082"
1,105,AL,Perry County,"4,246",46.9,"1,437",65.9,957,58.1,"27,403"
1,107,AL,Pickens County,"4,667",25,"1,417",34.5,"1,013",33,"31,933"
1,109,AL,Pike County,"8,237",26.4,"2,172",34,"1,534",34.1,"31,844"
1,111,AL,Randolph County,"4,512",20.4,"1,462",29.8,"1,040",28.6,"36,939"
1,113,AL,Russell County,"12,309",20.9,"4,501",30.3,"3,130",30.3,"35,585"
1,115,AL,St. Clair County,"12,071",14.3,"3,634",18.5,"2,530",17.6,"50,571"
1,117,AL,Shelby County,"19,610",9.6,"5,813",11.7,"4,028",10.7,"69,432"
1,119,AL,Sumter County,"4,692",38.1,"1,315",51.1,885,45.2,"25,413"
1,121,AL,Talladega County,"17,499",22.5,"5,749",32.7,"3,975",30.3,"39,999"
1,123,AL,Tallapoosa County,"8,633",21.3,"2,924",34.1,"1,935",31.1,"36,779"
1,125,AL,Tuscaloosa County,"34,553",18,"9,729",23.2,"6,843",22.9,"46,892"
1,127,AL,Walker County,"15,161",23.5,"4,671",32.9,"2,932",28.2,"37,245"
1,129,AL,Washington County,"3,077",18.5,"1,000",26.7,708,24.2,"41,321"
1,131,AL,Wilcox County,"3,697",33.7,"1,289",47.1,924,43.8,"24,035"
1,133,AL,Winston County,"4,796",20.1,"1,603",32,"1,076",28.4,"35,528"
2,0,AK,Alaska,"81,622",11.4,"28,273",15.5,"18,113",14.1,"70,898"
2,13,AK,Aleutians East Borough,544,16.2,52,15.6,33,13.6,"55,462"
2,16,AK,Aleutians West Census Area,549,9.9,67,9.7,42,8.6,"68,387"
2,20,AK,Anchorage Borough,"29,207",10,"10,359",14.2,"6,543",12.7,"75,200"
2,50,AK,Bethel Census Area,"4,166",23.8,"1,997",31.7,"1,391",31.9,"45,808"
2,60,AK,Bristol Bay Borough,89,9.5,23,12.2,15,10.9,"75,364"
2,68,AK,Denali Borough,133,7.1,32,8.9,21,7.7,"69,692"
