County_FIPS,Name,NAICS_Code,Description,Year,Total_Establishments
36001,"Albany County, New York",42,Wholesale trade,2012,394
36001,"Albany County, New York",423,"Merchant wholesalers, durable goods",2012,285
36001,"Albany County, New York",4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,2012,35
36001,"Albany County, New York",42311,Automobile and other motor vehicle merchant wholesalers,2012,8
36001,"Albany County, New York",423110,Automobile and other motor vehicle merchant wholesalers,2012,8
36001,"Albany County, New York",4231101,Automobile and motorcycle merchant wholesalers,2012,3
36001,"Albany County, New York",4231103,"Light truck and van (14,000 lb or less) merchant wholesalers",2012,1
36001,"Albany County, New York",4231105,"Heavy truck and tractor (over 33,000 lb) merchant wholesalers",2012,4
36001,"Albany County, New York",42312,Motor vehicle supplies and new parts merchant wholesalers,2012,21
36001,"Albany County, New York",423120,Motor vehicle supplies and new parts merchant wholesalers,2012,21
36001,"Albany County, New York",4231201,Motor vehicle supplies and new parts merchant wholesalers- warehouse distributors,2012,8
36001,"Albany County, New York",4231202,Motor vehicle supplies and new parts merchant wholesalers- jobbers,2012,13
36001,"Albany County, New York",42313,Tire and tube merchant wholesalers,2012,5
36001,"Albany County, New York",423130,Tire and tube merchant wholesalers,2012,5
36001,"Albany County, New York",42314,Motor vehicle parts (used) merchant wholesalers,2012,1
36001,"Albany County, New York",423140,Motor vehicle parts (used) merchant wholesalers,2012,1
36001,"Albany County, New York",4232,Furniture and home furnishing merchant wholesalers,2012,12
36001,"Albany County, New York",42321,Furniture merchant wholesalers,2012,6
36001,"Albany County, New York",423210,Furniture merchant wholesalers,2012,6
36001,"Albany County, New York",4232101,Household and lawn furniture merchant wholesalers,2012,3
36001,"Albany County, New York",4232102,Office and business furniture merchant wholesalers,2012,3
36001,"Albany County, New York",42322,Home furnishing merchant wholesalers,2012,6
36001,"Albany County, New York",423220,Home furnishing merchant wholesalers,2012,6
36001,"Albany County, New York",4232201,"Household china, glassware, and crockery merchant wholesalers",2012,1
36001,"Albany County, New York",4232203,Floor coverings merchant wholesalers,2012,5
36001,"Albany County, New York",4233,Lumber and other construction materials merchant wholesalers,2012,24
36001,"Albany County, New York",42331,"Lumber, plywood, millwork, and wood panel merchant wholesalers",2012,9
36001,"Albany County, New York",423310,"Lumber, plywood, millwork, and wood panel merchant wholesalers",2012,9
36001,"Albany County, New York",4233101,Lumber without yard merchant wholesalers,2012,2
36001,"Albany County, New York",4233102,Lumber with yard merchant wholesalers,2012,2
36001,"Albany County, New York",4233103,"Plywood, veneer, millwork, and wood panel merchant wholesalers",2012,5
36001,"Albany County, New York",42332,"Brick, stone, and related construction material merchant wholesalers",2012,4
36001,"Albany County, New York",423320,"Brick, stone, and related construction material merchant wholesalers",2012,4
36001,"Albany County, New York",4233201,"Brick, block, tile, clay/cement sewer pipe merchant wholesalers",2012,2
36001,"Albany County, New York",4233203,"Cement, lime, and related products merchant wholesalers",2012,2
36001,"Albany County, New York",42333,"Roofing, siding, and insulation material merchant wholesalers",2012,5
36001,"Albany County, New York",423330,"Roofing, siding, and insulation material merchant wholesalers",2012,5
36001,"Albany County, New York",42339,Other construction material merchant wholesalers,2012,6
36001,"Albany County, New York",423390,Other construction material merchant wholesalers,2012,6
36001,"Albany County, New York",4233901,Flat glass and other construction glass merchant wholesalers,2012,1
36001,"Albany County, New York",4233902,Other construction material merchant wholesalers,2012,5
36001,"Albany County, New York",4234,Professional and commercial equipment and supplies merchant wholesalers,2012,46
36001,"Albany County, New York",42341,Photographic equipment and supplies merchant wholesalers,2012,1
36001,"Albany County, New York",423410,Photographic equipment and supplies merchant wholesalers,2012,1
